Campaign_Name,Start_Date,End_Date,Objective,Total_Budget,Target_Platforms,,,,,,,,,,,
EndOfSeasonSale,10/06/2024,05/07/2024,Seasonal Clearance Promotion,180000,"Instagram,Facebook",,,,,,,,,,,
FashionUpgrade,01/08/2024,31/08/2024,Customer Engagement,160000,"Instagram,YouTube",,,,,,,,,,,
MyntraFestiveEdit,05/10/2024,05/11/2024,Festive Collection Launch,220000,"Facebook,Instagram",,,,,,,,,,,
StyleRevolution,10/01/2025,10/02/2025,Brand Awareness & Growth,200000,"Instagram,Twitter",,video link ,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
