Week_Start_Date,Platform,New_Followers,Unfollows,Total_Followers,Engagement_Rate,Ad_Spend,Follower_Growth,,,,,,,,,,,
03/06/2024,Instagram,1135,88,344084,8.06,5904,1047,,,,,,,,,,,
03/06/2024,Facebook,1312,310,42654,4.98,9566,1002,,,,,,,,,,,
03/06/2024,Twitter,584,169,146834,8.31,26752,415,,,,,,,,,,,
03/06/2024,YouTube,1535,445,395536,4.11,30671,1090,,,,,,,,,,,
10/06/2024,Instagram,656,139,49157,9.05,9920,517,,video link ,,,,,,,,,
10/06/2024,Facebook,1697,414,316555,2.37,7924,1283,,,,,,,,,,,
10/06/2024,Twitter,436,250,254347,4.01,8912,186,,,,,,,,,,,
10/06/2024,YouTube,1197,203,413878,3.16,21205,994,,,,,,,,,,,
17/06/2024,Instagram,1048,155,456946,2.46,11329,893,,,,,,,,,,,
17/06/2024,Facebook,1753,371,169496,8.11,46670,1382,,,,,,,,,,,
17/06/2024,Twitter,1335,40,122732,8.19,22482,1295,,,,,,,,,,,
17/06/2024,YouTube,403,66,382851,3.49,24313,337,,,,,,,,,,,
24/06/2024,Instagram,911,282,35664,6.92,18050,629,,,,,,,,,,,
24/06/2024,Facebook,1779,109,26295,9.12,30635,1670,,,,,,,,,,,
24/06/2024,Twitter,1238,403,298421,3.5,31280,835,,,,,,,,,,,
24/06/2024,YouTube,308,431,426184,2.62,1783,-123,,,,,,,,,,,
01/07/2024,Instagram,226,445,419447,9.36,9566,-219,,,,,,,,,,,
01/07/2024,Facebook,505,441,220020,4.48,42307,64,,,,,,,,,,,
01/07/2024,Twitter,1420,63,315305,6.19,5914,1357,,,,,,,,,,,
01/07/2024,YouTube,144,53,113678,8.72,30060,91,,,,,,,,,,,
08/07/2024,Instagram,1757,85,58223,8.74,22728,1672,,,,,,,,,,,
08/07/2024,Facebook,350,41,251694,1.91,38610,309,,,,,,,,,,,
08/07/2024,Twitter,987,440,389810,4.66,2932,547,,,,,,,,,,,
08/07/2024,YouTube,883,369,233694,2.88,15071,514,,,,,,,,,,,
15/07/2024,Instagram,1960,115,154169,3.74,10740,1845,,,,,,,,,,,
15/07/2024,Facebook,170,334,334626,6.44,43420,-164,,,,,,,,,,,
15/07/2024,Twitter,704,275,226002,8.56,32393,429,,,,,,,,,,,
15/07/2024,YouTube,224,64,156683,4.56,28474,160,,,,,,,,,,,
22/07/2024,Instagram,508,349,473812,7.88,17328,159,,,,,,,,,,,
22/07/2024,Facebook,1391,430,295032,7.86,26067,961,,,,,,,,,,,
22/07/2024,Twitter,1701,385,198278,5.34,32763,1316,,,,,,,,,,,
22/07/2024,YouTube,804,487,306564,5.52,26452,317,,,,,,,,,,,
29/07/2024,Instagram,653,112,23664,4.05,15353,541,,,,,,,,,,,
29/07/2024,Facebook,160,478,435034,7.73,4839,-318,,,,,,,,,,,
29/07/2024,Twitter,1756,261,287574,4.36,39272,1495,,,,,,,,,,,
29/07/2024,YouTube,576,101,62499,3.48,16804,475,,,,,,,,,,,
05/08/2024,Instagram,645,293,437968,7.83,49303,352,,,,,,,,,,,
05/08/2024,Facebook,214,411,125034,6.11,26455,-197,,,,,,,,,,,
05/08/2024,Twitter,826,498,449994,9.43,12384,328,,,,,,,,,,,
05/08/2024,YouTube,460,141,320650,4.04,49372,319,,,,,,,,,,,
12/08/2024,Instagram,1528,203,489188,6.23,47101,1325,,,,,,,,,,,
12/08/2024,Facebook,1534,200,307612,6.01,37903,1334,,,,,,,,,,,
12/08/2024,Twitter,485,448,434883,8.55,33258,37,,,,,,,,,,,
12/08/2024,YouTube,1210,178,102042,5.42,6915,1032,,,,,,,,,,,
19/08/2024,Instagram,215,139,325444,3.25,35501,76,,,,,,,,,,,
19/08/2024,Facebook,1078,20,183924,8.84,14203,1058,,,,,,,,,,,
19/08/2024,Twitter,1751,86,188655,7.24,22206,1665,,,,,,,,,,,
19/08/2024,YouTube,221,31,87443,6.19,10283,190,,,,,,,,,,,
26/08/2024,Instagram,1685,76,453799,5.71,24913,1609,,,,,,,,,,,
26/08/2024,Facebook,248,211,379380,9.04,26925,37,,,,,,,,,,,
26/08/2024,Twitter,1300,71,186454,3.91,9942,1229,,,,,,,,,,,
26/08/2024,YouTube,422,394,239044,7.83,32929,28,,,,,,,,,,,
02/09/2024,Instagram,1429,182,101332,7.16,37829,1247,,,,,,,,,,,
02/09/2024,Facebook,1520,475,496982,6.41,24384,1045,,,,,,,,,,,
02/09/2024,Twitter,557,360,318779,8.02,25797,197,,,,,,,,,,,
02/09/2024,YouTube,728,395,370971,3.86,12646,333,,,,,,,,,,,
09/09/2024,Instagram,1592,20,378054,9.09,26663,1572,,,,,,,,,,,
