Post ID,Platform,Date,Content Type,Post Text,Likes,Shares,Comments,Impressions,Reach,Clicks,Hashtags Used.1,Hashtags Used.2,Hashtags,Campaign_Name,Engagement_Rate,Total_Engagement,Start_Date,End_Date,Campaign_Phase,,Task 1,,,,,,,,,,,,,,,
P001,Twitter,23/12/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,1461,184,344,21915,21675,15,MyntraSale,,MyntraSale,FashionUpgrade,9.08%,1989,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P002,Twitter,03/04/2025,Text,Explore the latest text on Myntra! Trendy styles await.,4054,389,493,64864,64383,117,MyntraFashion,,MyntraFashion,EndOfSeasonSale,7.61%,4936,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P003,YouTube,12/05/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,2795,105,49,53105,52307,204,MyntraFashion,MyntraSale,"MyntraFashion,MyntraSale",FashionUpgrade,5.55%,2949,01/08/2024,31/08/2024,Before,,,,,,,,video link ,,,,,,,,,
P004,Instagram,12/08/2024,Story,Explore the latest story on Myntra! Trendy styles await.,2404,363,138,19232,18636,128,MyntraSale,,MyntraSale,FashionUpgrade,15.11%,2905,01/08/2024,31/08/2024,During,,,,,,,,,,,,,,,,,
P005,YouTube,26/06/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,3557,687,424,71140,70701,224,StyleWithMyntra,MyntraFashion,"StyleWithMyntra,MyntraFashion",MyntraFestiveEdit,6.56%,4668,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P006,Facebook,31/10/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,2945,930,355,23560,23275,256,MyntraTrend,,MyntraTrend,EndOfSeasonSale,17.95%,4230,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P007,Twitter,24/06/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,3860,201,279,61760,61660,235,MyntraTrend,,MyntraTrend,MyntraFestiveEdit,7.03%,4340,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P008,YouTube,13/07/2024,Image,Explore the latest image on Myntra! Trendy styles await.,3929,262,278,43219,42841,39,MyntraFashion,MyntraSale,"MyntraFashion,MyntraSale",MyntraFestiveEdit,10.34%,4469,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P009,Facebook,30/08/2024,Text,Explore the latest text on Myntra! Trendy styles await.,3784,808,404,56760,56343,131,MyntraFashion,MyntraSale,"MyntraFashion,MyntraSale",MyntraFestiveEdit,8.80%,4996,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P010,Facebook,11/03/2025,Image,Explore the latest image on Myntra! Trendy styles await.,4241,902,47,72097,71598,167,MyntraTrend,,MyntraTrend,StyleRevolution,7.20%,5190,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P011,Instagram,02/02/2025,Story,Explore the latest story on Myntra! Trendy styles await.,1792,614,497,25088,24675,65,StyleWithMyntra,,StyleWithMyntra,FashionUpgrade,11.57%,2903,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P012,Facebook,21/07/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,1946,686,377,23352,22982,213,StyleWithMyntra,MyntraSale,"StyleWithMyntra,MyntraSale",MyntraFestiveEdit,12.89%,3009,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P013,YouTube,18/11/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,1171,286,231,22249,21282,114,MyntraFashion,,MyntraFashion,StyleRevolution,7.59%,1688,10/01/2025,10/02/2025,Before,,"Observed:
Duplicate posts
Inconsistent date format
Mixed platform naming
Hashtags bundled together

Actions taken:
Removed duplicates
Standardized formats
Cleaned numeric fields
Split hashtags into individual tags

Result:
A trustworthy dataset ready for analysis",,,,,,,,,,,,,,,
P014,Facebook,16/02/2025,Story,Explore the latest story on Myntra! Trendy styles await.,4242,555,131,33936,33802,265,MyntraSale,MyntraFashion,"MyntraSale,MyntraFashion",MyntraFestiveEdit,14.52%,4928,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P015,Facebook,24/10/2024,Video,Explore the latest video on Myntra! Trendy styles await.,3888,604,128,77760,77167,20,MyntraFashion,FashionDeals,"MyntraFashion,FashionDeals",FashionUpgrade,5.94%,4620,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P016,Facebook,26/08/2024,Text,Explore the latest text on Myntra! Trendy styles await.,3452,377,360,55232,55075,87,MyntraSale,FashionDeals,"MyntraSale,FashionDeals",MyntraFestiveEdit,7.58%,4189,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P017,Facebook,05/05/2025,Text,Explore the latest text on Myntra! Trendy styles await.,4441,511,70,53292,53082,159,FashionDeals,,FashionDeals,MyntraFestiveEdit,9.42%,5022,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P018,Instagram,19/08/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,3000,382,325,36000,35819,19,StyleWithMyntra,,StyleWithMyntra,EndOfSeasonSale,10.30%,3707,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P019,Instagram,23/06/2024,Video,Explore the latest video on Myntra! Trendy styles await.,1071,519,22,16065,15865,103,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",MyntraFestiveEdit,10.03%,1612,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P020,Instagram,09/09/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,4054,488,373,77026,76881,25,MyntraFashion,MyntraSale,"MyntraFashion,MyntraSale",MyntraFestiveEdit,6.38%,4915,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P021,Instagram,04/01/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,4838,640,128,72570,72396,83,StyleWithMyntra,MyntraTrend,"StyleWithMyntra,MyntraTrend",MyntraFestiveEdit,7.72%,5606,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P022,Facebook,27/02/2025,Text,Explore the latest text on Myntra! Trendy styles await.,1570,187,260,25120,24613,133,MyntraSale,,MyntraSale,StyleRevolution,8.03%,2017,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P023,Facebook,06/11/2024,Video,Explore the latest video on Myntra! Trendy styles await.,1606,547,316,32120,31736,225,MyntraSale,,MyntraSale,MyntraFestiveEdit,7.69%,2469,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P024,Facebook,23/01/2025,Video,Explore the latest video on Myntra! Trendy styles await.,3961,761,131,67337,66615,161,MyntraTrend,,MyntraTrend,EndOfSeasonSale,7.21%,4853,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P025,Twitter,10/04/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,3128,211,197,59432,59182,238,StyleWithMyntra,MyntraSale,"StyleWithMyntra,MyntraSale",FashionUpgrade,5.95%,3536,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P026,YouTube,05/04/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,3009,413,358,42126,41309,211,MyntraSale,,MyntraSale,EndOfSeasonSale,8.97%,3780,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P027,YouTube,17/09/2024,Text,Explore the latest text on Myntra! Trendy styles await.,2076,195,104,33216,32244,51,MyntraTrend,,MyntraTrend,StyleRevolution,7.15%,2375,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P028,Instagram,04/03/2025,Video,Explore the latest video on Myntra! Trendy styles await.,432,624,123,6912,6259,79,MyntraSale,MyntraTrend,"MyntraSale,MyntraTrend",EndOfSeasonSale,17.06%,1179,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P029,Instagram,31/01/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,2566,118,37,12830,12264,221,MyntraTrend,MyntraFashion,"MyntraTrend,MyntraFashion",MyntraFestiveEdit,21.21%,2721,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P030,Instagram,25/02/2025,Video,Explore the latest video on Myntra! Trendy styles await.,3095,39,78,55710,54808,93,MyntraSale,,MyntraSale,StyleRevolution,5.77%,3212,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P031,Instagram,16/12/2024,Text,Explore the latest text on Myntra! Trendy styles await.,438,153,275,3066,2701,282,MyntraTrend,,MyntraTrend,StyleRevolution,28.25%,866,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P032,Twitter,31/07/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,2278,10,321,13668,12676,275,MyntraTrend,MyntraFashion,"MyntraTrend,MyntraFashion",StyleRevolution,19.09%,2609,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P033,Facebook,21/08/2024,Image,Explore the latest image on Myntra! Trendy styles await.,1407,400,351,16884,15954,113,MyntraFashion,FashionDeals,"MyntraFashion,FashionDeals",MyntraFestiveEdit,12.78%,2158,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P034,Facebook,26/03/2025,Text,Explore the latest text on Myntra! Trendy styles await.,1652,89,357,29736,28771,215,MyntraTrend,FashionDeals,"MyntraTrend,FashionDeals",EndOfSeasonSale,7.06%,2098,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P035,Instagram,30/11/2024,Video,Explore the latest video on Myntra! Trendy styles await.,3775,16,239,33975,33310,271,StyleWithMyntra,MyntraSale,"StyleWithMyntra,MyntraSale",MyntraFestiveEdit,11.86%,4030,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P036,Instagram,19/04/2025,Story,Explore the latest story on Myntra! Trendy styles await.,4518,285,383,67770,67621,31,FashionDeals,,FashionDeals,EndOfSeasonSale,7.65%,5186,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P037,Facebook,06/01/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,3024,925,350,24192,23518,36,MyntraSale,,MyntraSale,MyntraFestiveEdit,17.77%,4299,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P038,YouTube,17/02/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,3138,123,291,28242,27550,87,FashionDeals,,FashionDeals,StyleRevolution,12.58%,3552,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P039,Facebook,25/11/2024,Image,Explore the latest image on Myntra! Trendy styles await.,3564,629,177,60588,59627,92,FashionDeals,MyntraSale,"FashionDeals,MyntraSale",MyntraFestiveEdit,7.21%,4370,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P040,Twitter,07/03/2025,Image,Explore the latest image on Myntra! Trendy styles await.,4750,151,415,38000,37792,299,StyleWithMyntra,MyntraSale,"StyleWithMyntra,MyntraSale",EndOfSeasonSale,13.99%,5316,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P041,Instagram,08/03/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,456,629,428,8208,7377,205,MyntraSale,FashionDeals,"MyntraSale,FashionDeals",MyntraFestiveEdit,18.43%,1513,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P042,YouTube,05/03/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,1543,820,333,12344,11496,241,StyleWithMyntra,,StyleWithMyntra,MyntraFestiveEdit,21.84%,2696,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P043,Instagram,14/12/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,2174,658,15,13044,12206,137,MyntraSale,MyntraFashion,"MyntraSale,MyntraFashion",StyleRevolution,21.83%,2847,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P044,Twitter,02/03/2025,Image,Explore the latest image on Myntra! Trendy styles await.,2358,784,344,35370,34475,216,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",FashionUpgrade,9.86%,3486,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P045,Facebook,01/11/2024,Video,Explore the latest video on Myntra! Trendy styles await.,3371,106,327,50565,49816,176,FashionDeals,,FashionDeals,StyleRevolution,7.52%,3804,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P046,Twitter,02/05/2025,Video,Explore the latest video on Myntra! Trendy styles await.,1108,177,212,8864,8710,97,MyntraFashion,,MyntraFashion,StyleRevolution,16.89%,1497,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P047,Twitter,24/02/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,2704,752,153,21632,20792,127,FashionDeals,MyntraFashion,"FashionDeals,MyntraFashion",FashionUpgrade,16.68%,3609,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P048,Twitter,11/03/2025,Story,Explore the latest story on Myntra! Trendy styles await.,1950,295,478,37050,36272,119,MyntraFashion,StyleWithMyntra,"MyntraFashion,StyleWithMyntra",StyleRevolution,7.35%,2723,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
